movie,sentence,score
발신제한,영화레트리뷰션 : 응징의날2016년에 나온 영화랑 하너도 다를게 없는 한국판이네요.... 스토리며 다 같은데 주연배우가 캐리함...,6
모가디슈,너무 재밌었어요 잘만든 영화,10
모가디슈,꼴페미 정만식에 1점을 드림,1
모가디슈,실제로 보면 잘만든 영화다..  병따 정치충 놈들이 북한나오니 보지도 않고 악플만 쳐 하는데 영화를 쳐봐라.. 남북화합이나 한민족 같은 그런 내용이 아니다 븅들아... 인간으로써 살기 위한 여정이고 당시 현실에 대한 안타까움만 맴도는 영화다... 영화 보지도 않는 키보드 워리어들아 좀 꺼져라,8
모가디슈,굿,10
커튼콜,감독 프로필 없내 이거찍고 본인도 창피햇나 ㅋㅋ,1
모가디슈,괜찮은 영화에 북한 때려넣기 좌빨영화,8
호스트: 접속금지,50분이라고 돈아깝다는거지새기들많네,2
블랙 위도우,재밌어요,8
정글 크루즈,초5 딸과 함께 봤는데 무척 재미있었다고 한다. 내 생각도 마찬가지다. 가족과 함께 볼 영화로서 이 정도면 괜찮다고 본다.,8
그린 랜턴: 반지의 선택,나름 재밌게 봄~라이언 레이놀즈 귀여워~누가 뭐래도~,10
나비 효과,이 영화를 10대에 보지 않은 것은 행운이다.,9
너의 결혼식,환승희 개 나쁨 개빡쳐버려,8
신세계,경찰이 나중에 조직의 보스가 되는 과정. 잔인한 장면도 있지만이정도면 한국영화 탑10에 들 정도. 액션 영화 좋아한다면 반드시 보아야할것. 황정민의 연기 베리 굳. 이정재는 부드러운 이미지로 이런 영화와는 다소 어울리지 않을듯..,10
모가디슈,실화를 아주 잘 그려낸 영화 남과북은 결국 하나다.,10
블랙머니,유치함의 극치에 충분히 예측할수 있는 뻔한 스토리전개... 시간아까움,2
CCTV,시작부터 가을인데 12월 31이라는건 머임??,6
모가디슈,태준기....♡♡♡,10
폼포코 너구리 대작전,동물멸종위기온것도 인간때문일수도,10
모가디슈,공석에선 함께하지못하는 슬픔,10
더 문,이제라도 알게되어서 좋은 영화,8
턴: 더 스트릿,연기를 너무 너무 잘하시네요 이 영화 꼭 보시길 바랍니다 클레멘타인 영화를 잇는 영화입니다,10
더 수어사이드 스쿼드,1편만큼 쓰레기네졸라재미없네,4
미드나잇 인 파리,정말 최고임... 꼭 봐야함 이건 걸작임,10
울고 싶은 나는 고양이 가면을 쓴다,1시간 44분 이라는 시간이 이렇게 빨리 가는시간인지 몰랐습니다..,10
존 윅 3: 파라벨룸,존윅은 1.2 더 재밌다..,6
블러드 레드 스카이,아들역은 감독 아들을 데려다 찍은거냐? 연기가 너무하잖아,1
걸캅스,꼴깝스 꼴깝스 꼴깝쓰 꼴깝쓰,2
셔터 아일랜드,그동안 영화를 너무 많이 봤나보다 초반 30분 부터 반전이 예측돼서 재밌기는 했는데 흥미롭지는 않았다 그만큼 이 영화와 소설이 지금 탄생하는 수많은 비슷한 플롯의 대중매체의 원작격이라는 거겠지,8
천공의 성 라퓨타,땅에 뿌리내려 바람과 함께 살아가자,10
마담 뺑덕,난민전문가 압둘라하 부 바크르 알바그다디 정우성의 파워깔작 뒷치기,4
미드나잇 선,이걸 왜 이제 봤나 싶네요  마지막에 케이티가 부른 노래가 라디오에서 나올때 너무 슬퍼요ㅜㅜ,10
그린 존,소재 내용 연기 10점 드립니다,10
모가디슈,여운이 오래 가네요 구교환 배우 다시 보러 2차 관람 예정입니다,10
트와일라잇,와 진짜 너무 좋아 제발 이런 거 또 내주세요,10
더 수어사이드 스쿼드,갠적으로 스토리는 가오갤이 몰입도는 아쿠아맨이 더 좋았던 것 같아요. 가끔 잔인한 장면이 문득문득 지나가고 후반부의 무거운 분위기는 별로 였습니다. 그래도 왜 이 영화가 전문가 평점이 높은것은 예술영화에서나 볼 정도의 수준 높은 미장센과 여러가지 시도  그리고 감독 특유 유머코드가 돋보여서 그렇지 않았을까요. DC지만 어른 전용 다재다능 영화였습니다.,7
더 수어사이드 스쿼드,할리퀸 외에도 다른 캐릭터들의 매력이 빛을 발했고 연출 OST 스토리 영상미 연기 뭐하나 빠짐없이 완벽한 영화였다,10
구타유발자들,보면 기분나쁜데 과정이 너무 재밌음.,10
"아이, 토냐",토냐와미국의이야기지만우리의 이야기다. 너무 쉽게들 돌을던진다.,9
라이언 일병 구하기,말이 필요없는 영화 감동적이고 가슴이 먹먹하세요,10
유어 아이즈 텔,음..별 기대안했는데..소지섭&한효주 연기도 좋았는데 일본배우들의 연기도 감정선하며 너무 좋았어요.음악도 좋고 게다가 둘 다 제가 좋아하는 배우라 더 좋았네요,10
모가디슈,생각보다 잘만든 영화,10
더 수어사이드 스쿼드,이런 유의 영화로 이 정도 하기도 쉽지 않거든,8
더 수어사이드 스쿼드,아 재밋다 꾸르잼잼 기가 마켜,10
더 기버: 기억전달자,진짜집중해서 볼 수 밖에 없습니다,10
장화신은 고양이,역시 슈렉제작진 옛날에 봤던것같은데 또봐도 재밌네요,8
비긴 어게인,노래 너무 좋고 분위기도 굿,10
젠틀맨,스토리도 지리고 반전도 지려요 인생영화 굳굳,10
너의 이름은.,내 인생 최고의 애니메이션 영화,10
더 수어사이드 스쿼드,처음에 반 죽여서 병맛을 준 건 괜찮다. 하지만 이후 루즈한 전개가 지루하게 만들었고 자꾸 '몇 시간 전'이란 배경과 함께 뚝뚝 끊어지는 난잡한 스토리 라인으로 몰입을 할 수 없었다. 후반부까지 남아있는 캐릭터들도 절반은 설정만 있는 들러리에 가까웠고 억지로 만든 유사 부녀관계는 신파에 가까웠다. 불가사리 실험 관련 디스크를 획득할 때까지만 해도 팍스 아메리카와 같은 미국식 영웅서사 클리셰를 까는 걸로 가는 듯 했으나 이후 난데없이 아이들을 위해 싸운다고 해 주제의식에 있어 일관성이 없다. 여기에 반정에 성공한 반란군은 그들로 인해 성공할 수 있었다는 인터뷰로 미국이 없으면 아무것도 못하는 타국이란 인상을 주고 끝난다. 주제의식조차 모순적이다.,1
우주 전쟁,외계인들보다 자식들이 더 무섭다,8
더 수어사이드 스쿼드,마고로비는여신이다..  배우들연기 스타일도 최고,10
모가디슈,태준기.. 살려주세요 ㅠ,10
클래식,이 명작을 32먹고 이제서야 처음 봤네요와이프 처가 내려갔을때 혼자 밤에 맥주마시며보다 눈물범벅됐네요 너무 감동적이고 좋은 영화였습니다,10
마담 뺑덕,가스불은끄고만나자제발 왜남탓을해ㅡㅡ,6
모가디슈,태준기 존멋탱 사랑합니다 구교환^^,10
바람의 검심,꽤나 잘 만들었다. 원작을 잘 묘사 했다.,8
아미 오브 더 데드,발암 캐릭터 좀 나대지말라고 시간 버렸네 ㅡㅡ,1
화이트 릴리,영화보는 내내 남자 주인공이 되고 싶었다. 그 뿐이다.,3
컨테이젼,놀라운 영화..과장없는 스토리와 연출..,10
더 리더: 책 읽어주는 남자,내가 얼마나 머리를 쓰지 않고 살아왔는가를 가늠할 수 있게 하는 영화. 이 영화가 재밌다면 나는 정말 단순하고 뇌가 없이 살아갈 수 있는 걸 확신해도 되는 영화. 20년 쯤 뒤에 보면 완전 졸작일 것 같은 영화. 말도 안 되는 감정선과 억지로 끼워맞춘 듯한 상황극. 쉽게 얘기해 부자연스럽고 일어나지도 않을 법한 억지스러운 상황을 아주 자연스럽게 표현하려고 한 영화 및 소설. 오만과 편견의 아류작.,1
남한산성,대한민국 사극영화 중 단연 최고다. 하지만 날조된 국뽕 역사관을 가진 한국인들에겐 거북한 영화.,10
시동,대체 뭔 내용인지 모르겠다. 보는 내내 그래서 지금 뭐하자는건데 싶고 이런 대배우들 모셔놓고 이런 각본 짜내는 것도 능력인듯. 재미도 없어 그냥 욕만 처먹은 것 같음 기분나쁨.그치만 배우들 연기는 좋으니 2점 드립니다,4
박하사탕,군대에 간 순간부터 박하사탕이 밟히듯 삶이 .. 경찰을 선택하고도 .. 꼬인다.. 너무나도 처참하다..그때가 그립다 너무나 순수하고 찬란하던 그시절..돌아가고 싶다.,10
비스티 보이즈,재밌네 예전엔 몰랐는데나이먹고보니...마동석이 나오는줄은새로 안 사실 ㅋㅋㅋ,8
모가디슈,완전 짱!!코로나 아니었음 대박쳤을 영화네요사운드도 훌륭했어요!!,10
블랙 위도우,역시 블위!!!,10
터미널,정말 인상적인 영화입니다.,10
모가디슈,재미 있으면 추천!  재미 없으면 비추!,8
워터 릴리스,"가혹한 첫사랑의 열병들이여... 첫사랑은 이미 까마득히 잊은 나이인데도 덩달아 가슴이 저릿하다. ""나를 좋아하는 마음도 조금은 있었을거야. 아니어도 괜찮아. 아직 첫키스는 안했으니까."" /음악도 좋고 엔딩도 좋습니다.",9
더 수어사이드 스쿼드,유치함과 유머스러움은 한 끗차이. B급도 일부러 연출한 B급과 수준 떨어지는 B급도 한 끗차이. 감독의 이전 마블 가디언즈는 SF라 과해도 캐릭터들의 매력으로 커버가 되었지만 이번작은 매력없는 캐릭터와 유치하고 수준떨어지는 B급 영화 딱 그 정도. 이걸 만점주는 사람들은 그냥 자신의 유치함을 증명하는 수준이지.,5
모모와 다락방의 수상한 요괴들,일본판 강추합니다.요괴들 괴상하게 생긴 외모와 다르게 하는짓이 너무 귀엽네요ㅎㅎ시간가는줄 모르고 봤습니다,10
감시자들,조직적안 추적을 촛점으로 하는 새로운 시도. 신선했고 좋았다. 하지만 시도를 넘어서 영화로의 완성성은  어쉽다. 마치 기술적인 면에만 신경을 쓰다가 재미라는 큰 줄거리를 높친 격. 이번 작업은 완성이 아니라 출발작이었고 이를 바탕으로 완성성이 높아진 다음 작을  기대한다. 평점8은 바람직스러운 새로운 시도를 했다는 점에서 좀 후하게 준 점수다.,8
더 수어사이드 스쿼드,조온시놔~빠밤빠밤빰 빠밤빠밤빰,8
블러드 레드 스카이,뱀파이어의 본능을 이긴 모성애는 좋은 소재 였고 연출도 나쁘진 않아서 그냥저냥 볼만했는데 끝에 어떻게든 반전 넣을려다가 모성애로 끝나지도 않고 전체 영화 다 말아 먹은 느낌이랄까 ㅋㅋㅋ,1
황해,엄청난영화 잔인한장면이 연속되고 무거울거란 생각에 관람을 미뤄뒀던걸 후회한다 역시나홍진 하정우 김윤석,10
더 수어사이드 스쿼드,전작보다는 확실히 좋은데 ... 서사좀 없애면 안되나? 이걸 보러 온 사람들이 통쾌한 액션을 보러 왔지 캐릭터들 서사를 보러 왔을지는 의문. 그 타임을 좀 효율적으로 썼으면 좋았을텐데,6
더 수어사이드 스쿼드,예고편이 가장 재미있었음,1
윤희에게,내가 본 사랑 이야기 중에 가장 마음을 울렸던 영화.,10
황해,마누라 찾으려다 개고생했는데 허무하게 ㅜㅜ불쌍한 정 우,6
더 수어사이드 스쿼드,기대했는데..이정도면 개찐도찐이잖아...,4
더 수어사이드 스쿼드,상어 캐릭터 졸귀 냠냠~,10
더 수어사이드 스쿼드,캐릭터 분량 조절이 거의 완벽했다.그중 랫캐쳐는 능력 코스튬 모두 하찮아 보였고 할리퀸의 매력에 묻혔다 생각했다. 하지만 스타로 씬에서 랫캐쳐가 빛을 발했고 타이밍 좋게 과거 회상으로 캐릭터와 장면에 생명을 불어넣었다. 나는 이 의외의 포인트에서 감동이 배가됨을 느꼈다. 아무 감정도 안 남는 그냥 오락 영화와는 달랐다.,10
더 수어사이드 스쿼드,가디언즈 오브 갤럭시 제임스 건 감독 작품이다 안보신분들 꼭 보세요! 잔인하고 통쾌한 액션 짱!!,10
모가디슈,영화보는 내내 눈을 땔수 없었어요코로나 때문에 스트레스 이만저만 아니었는데스트레스 확 풀고 왔네요,10
아수라,후 자극적이야 스트레스 풀린다 평점 낮아서 안보고있었는데 왜 아수리언 팬덤 생겼는지 이해갑니다 한국판 블랙코미디 너무 좋았어요,8
모가디슈,영화 소개글만 살짝 읽고 가서 무슨 영화인지 잘 모르고 봤는데 기대 이상으로 재미있었어요 감동도 있고 액션도 있고 배우들 명연기까지!,10
발신제한,결말이 ㅄ같네요.,1
해어화,평점이 왜 8.2점 밖에 안되는지 그 어떤 영화보다도 애절하게 봤는데,10
아메리칸 초밥왕,너무 재미있네요~ 왠지 내예기 갔네 ㅋㅋㅋ,10
원더풀 라이프,나는 어떤 장면을 가지고 갈까,10
방법: 재차의,너무재밌게봤어요!!!!,10
내일의 기억,논란을 떠나서 서예지 연기력이 좋긴 하네 다른 영화에 비해 조연들 비중은 적고 김강우 서예지 둘이서 끌고가는 영환데 둘다 워낙 연기력이 좋아서 연기로는 빈틈이 없다 스토리는 기억이 돌아오는 과정과 기억의 조각들에 대한 현실성이 조금 미약하다연기만 보면 10점인 영화,8
해운대,ㅂㅅ들은 2009년 영화여 이때 까지만 해도 우리나라 재난영화? ㅋㅋㅋ  뭘알아야지 ㅂㅅ들이 알고까라 이정도면 엄청난 영화를찍은거야 2021년 다시봐도 많이 촌스럽지 않는데 뭘 얼마나 더해야되니? 영화에 영 짜도 모르는 ㅂㅅ들 마블영화나 쳐보고 웃으세요 연기력 잘못된것도 알고 시간질질 끈거 그건 ㅇㅈ 하는데 영화가 ㅂㅅ이였다는건 아니지,10
더 수어사이드 스쿼드,진짜 재밌어요!!!! 예고편은 그저그랬는데 영화는 너무너무너무 재밌어요,10
블러드 레드 스카이,심장 쫄깃 엄청 재밌게 보았습니다,10
워크 투 리멤버,풋풋한 모습으로만 흐뭇하게 보다가 진실된 깊은 사랑임을 알고나니 눈물이 ㅠ...,10
블라인드 사이드,너무나 감동적이고 교훈적인 영화입니다. 강추!,10
모가디슈,코로나때문에 요즘 영화관 하는지도 몰랐는데 우연히 보게되었어요 진짜 존잼.. 돈이 안아까워!!!,10
모가디슈,뭐같은 콩글리쉬 반군에게 들킬 뻔한 북한을 살려둔 점 억지로 감동 포인트를 연출 해내려고 함두 눈 뜨고 보기 아까운 주인공 버프 블랙 위도우도 평이 안좋은 판에 이렇게 국뽕에 치솟은 영화가 있다니개돼지들 성을 알겠다,1
모가디슈,진짜 꿀잼. 꼭 보세요. 조인성은 못참지,10
모가디슈,아 생각보다 엄청 스릴 있네요~~스릴 있어요~~아 긴장되고 똥줄이 타서 죽는줄...,10
우리들,나도 너도 우리도 이 영화의 한 역할이었던 때가 있었던 거 같다. 분명 '슬프다'고 정의내릴 수 있는 장면은 명확하게 없는데 잔잔하게 마음을 울린다. 나도 모르게 내 어린 시절이 떠올라 눈물이 났다.,10
감쪽같은 그녀,계속 울었습니다 지치고 힘들어 울고 싶으신분들에게 정말추천합니다,10
블랙 위도우,마블 시리즈 중 최고의 영화,10
크루엘라,기대이상의 수작. 유쾌하고 새로운 악당 탄생. 2시간동안 매우 즐거웠음.,10
모가디슈,하 진짜 돈아깝네요 그나마배우때문에보는영화인듯,1
은행털이와 아빠와 나 2,은행털이와 아빠와 나 2가 왜 1보다 먼저 나왔지? ㅡㅡㅋ1: 1986년2: 1983년,8
인시디어스 3,와 너무 재밌게 봄요 굿굿,10
비긴 어게인,배우들의 살아있는 표정은 날 영화속으로 잡아당겼고 ost들은 내가 주인공들과 함께 춤을 추게 만들었다.,10
그루피: 사생팬,1등 ... 부자되게해주세요^^,10
먼 훗날 우리,중국...이 세상에서 제일 싫은 나라 당당1순위다...,1
모가디슈,이국적인 배경덕에 꽉 찬 영화가 되었네요. 별이빼곡한 밤하늘까지 현지올로케 값 합니다.,10
방법: 재차의,드라마보다 볼만했어요% 지루하지 않고요,10
호스트: 접속금지,요즘같은시국에 맞는 공포영화를 만드신것 같은데 그렇게 막 무섭진 않았고 재밌지도 않은것 같아요. 6점을 준 이유는 그래도 완전 노잼까지는 아니었다라는 겁니다.,6
콘스탄틴,레이첼 바이스… 최고의 배우.,10
황해,세번째 봄영화는 이래여야만 하는것,10
아미 오브 더 데드,이 영화가 이렇게 점수가 낮다고?한국영화계 참 한심하다. 한국영화 보게 하려고 알바 동원해서 미국 영화 평점 깎아내리는 짓이나 하고 부끄러운 줄 알아라.,10
해가 서쪽에서 뜬다면,다시 봐도...임창정의 천진난만 순진하고 착한 감정선이 와닿아서...풋풋한 그 시절로 돌아가는 듯....고소영 미모.. 옛날도 지금도 여전하네...,10
건축학개론,이걸 왜 이제야 봤지.. 최고의 영화입니다. 여운이 남네요,10
워크래프트: 전쟁의 서막,몇번을 봐도 재밌는데.. 왜 2편이 안나오지.. 너무 아쉽다..,10
루카,처음 시작부분은  좀 별로였는데 은근히 감동적이고 인간과 서로 융화되는 끝부분이 뭉클했어요. 역시 편견없이 서로를 바라봐야 할 것 같아요.,9
모가디슈,정말 재밌게 잘 봤습니다 후반부터 심하게 울고 마지막에 거의 오열해서 ㅠ 끝나고 자막 다 올라갈때까지도 못나갔어요 극장에서 나 혼자 운 것 같고 쩜 민망하네요 아무튼 5점 만점 드립니댜 ㅠㅠ,10
모가디슈,조인성김윤석팬이지만 감독이 싫음..군함도에서 너무 실망..그뒤. 믿고거르는 감독임,2
클릭,정말 감동적인 영화입니다....ㅠㅠ정말 주어진 지금 순간순간을 소중하고 감사하게 주위사람들을 사랑하면서 살아가겠습니다!,10
스파이더맨,거미인간이라는 히어로의 탄생을 알리는 마블의 역작. 단 한 순간도 지루할 틈이 없이 아주 짜임새있게 전개됨. 실사와 CG가 적절한 비율로 적절하게 결합하여 리얼리티가 살아 있음. 각종 재난상황에서의 스파이더맨의 활약이 감동까지 줌.,10
엘리자베스타운,배우들 연기는 좋으나 미국식 오글거림의 극치;;,6
모가디슈,류승완 감독이 한국판 아르고를 만들 줄이야..,8
모가디슈,조인성씨 연기 너무 좋았어요,10
올드 가드,좀 지루한가? 싶더니 점점 몰입하다가 2를 기다리게 됨. 시즌제 미드였음 완전 몰입해서 봤을 것 같음.,10
이장과 군수,평범하지 않지만 평범해서 더 좋은 결말,10
블러드 레드 스카이,애새0 때문에 망한 영화 처음부터 끝까지 발암 캐,1
더 수어사이드 스쿼드,데드풀을 뛰어넘는 병맛 히어로물!!!뭐 하나 모자란게 없는 올해 최고의 오락물 특이 샤크 골때림 ㅋ,9
모가디슈,심장쫄깃하게 너무 재밌게 잘 봤어요 ㅠㅠ 끝에서 너무 슬펐고 가슴이 먹먹 ㅠㅠ 감독님 그리고 배우님들 멋진영화 너무 감사합니다!!,10
다만 악에서 구하소서 파이널컷,오랜만에  시간 가는줄모르고 봤네요^^  너무재밌게 봤습니다,10
성난황소,작위적이고 개연성이 부족한 연출. 좋은 배우들이 열연했지만 A급 오락 영화로는 부족하다.,7
콜래트럴,너무 저평가된 액션 영화.,10
루카,재미와 감동을 다 잡은 작품!! 청량감 넘치는 화면 연출에 스토리도 맘에 들고 캐릭터들도 너무 귀엽고 사랑스러워요. 애니메이션 좋아해서 종종 보는데 개인적으로 Top5 안에 듭니다. 역시 디즈니픽사 영화는 역시 믿고 봅니다!!,10
미드나이트,고구마 몇억개 먹고 체함 절대 보지마시오 절대,2
터널,한국 재난 영화 중 볼만한 영화.,9
무언의 목격자,답답하면서 극도의 긴장감이 감돈다,9
올드 가드,너무 재밌다 2 기대됨 ㄹㅇ,10
살인자의 기억법,재밌어요 적절한 코믹요소도 있고 연기력도 좋음,10
여고괴담 여섯번째 이야기 : 모교,vod로 나와서 돈주고 봤는데 돈이 너무너무아까워서 분노가 차올라서 잠을 못잤음...ㅋㅋㅋ그정도임 진짜 돈줘도 보지마세요. 시간아까움. 정신산만하고 어수선하고 하나도 안무서운 영화 졸작중의 졸작이다 진짜 발로 편집했나봄. 진짜 개구림,1
방법: 재차의,반기업 권해요가 나오는 좌파영화,2
CCTV,여조연들 연기 어쩔거야.,4
극장판 도라에몽: 진구의 신공룡,도라에몽은 미키마우스 라이벌이지...한국이 자랑하는 캐릭터는?뽀로로?펭수?,10
라라랜드,달콤씁쓸한 커피를 마시며 카페에서 이별한다면 이 느낌?,8
블랙핑크 더 무비,블랙핑크 공연에 온 듯한 현실감 대박 단 1도 지루할 틈이 없었네요 또 보러갈래요!,10
모가디슈,진짜 간만에 작품하나보고감 역시 류승완,10
발신제한,더테러라이브 범인 탈옥함?ㅋㅋㅋ그냥저냥볼만함,6
모가디슈,구교환 배우 인상 깊었습니다 강추!!,10
버닝,감독 연출 연기 다 최고의 작품임정말 가득 담아서 보여줬으나 선택해서 받아들이면 되는 영화,9
돌멩이,감독이 착한병에 걸려서 출연자 전부 나쁜놈으로 만들었어요. 고구마 한 100개 먹은듯.,2
붉은 거북,자연은 인간의 산물이지만 동시에 재난이 되기도 한다.그의 의지에 따라 자연은 그를 좋아했다고 말할 수 있다..,7
트라이앵글,아 진짜 답답하다가 답답하게 끝나는 영화 ㅋㅋ,1
쓰리 데이즈,치밀하지도 힘이 세지도 않다. 그럼에도 그래서 더 몰입 된다.,8
극한직업,고급식당은 아니지만 깔끔하게 맛있는 프랜차이즈 치킨느낌,8
목소리의 형태,명확한 해결책은 없다. 하지만 그 모든 당연해질 수밖에 없었던 사건들이 서로 맞물릴 때 그게 눈으로 보여 질 때야 그 일련의 과정들로 서로를 이해할 수 있었다.,7
7번방의 선물,진짜 지...아지짜....,10
모가디슈,모든 배우님들 나무랄데 없는 연기에 박수를!!연출 스토리 연기 감동 잔인하지 않아 더 좋았다돈이 아깝지 않은 영화,8
크루엘라,엠마스톤 예뻐요!!!,10
더 수어사이드 스쿼드,너무 어설프고 유치함… 피식하면서 봤다는 평이 있던데 전혀… 몇 년만에 보다가 졸았을 정도.. 시간 아까웠음,6
국가대표2,다시봐도 눈물지뢰임 수애연기좋음,10
캐시트럭,너무좋아 이런영화 너무 굿,10
랑종,생각외로 내용이 허접하다고 느낌무슨 좀비물도 아니고 전개도 별로고특히 카메라 무빙 때문에진심  여자친군 토하고 오고 나는 멀미나고 어지럽고 제대로 보지도 못하고돈 내고 멀미 사고옴 화남 돈아까움제발 이 평점을 보고 영화보러 가는걸 다시 한번 생각하세요 기미테를 사고 가던지  후....,2
더 수어사이드 스쿼드,전편보다 더 재미없는게 가능할까 싶은데 가능,1
더 수어사이드 스쿼드,사람의 응꼬는 헤어스타피쉬다,6
모가디슈,JSA의 벽은 높고 통일은 멀다.,4
감시자들,재미있게 봤어요. 굿~~,10
엑스 마키나,너드 주인공때매 걸출한 인재인 회장만 죽음....AI년이 궁극의 악임....내가 40평생 수많은 영화를 보면서 실제로 스크린에 들어가서 죽여버리고 싶다는 생각을 들게 만든게 바로 이 영화 악역인 AI년임ㅋㅋ 진심 100년 영화 역사의 최고의 악역이 바로 이 영화 AI년일꺼다 ㅋㅋㅋ 멘탈 약한분들 보지 마셈 ㅋㅋㅋ,1
과속스캔들, 재밌게 봤습니다^^별10개,10
원스 어폰 어 타임... 인 할리우드,타란티노 특유의 색깔은 좋다만 끝맛이 좀...영상은 예쁜데 허무하다. 취향차이,4
더 수어사이드 스쿼드,왜이리 유쾌한척하지 노잼임 그냥 할리퀸 총쏠때 꽃 나오는 것도 어디서 본 장면 같고,3
이별의 아침에 약속의 꽃을 장식하자,슬픈데... 너무 슬픈데... 너무 재밌고.. 마지막에 ost 쩔고.. 다 쩔어,10
더 수어사이드 스쿼드,제임스건 특유의 쌈마이식 연출은 그나마 볼만했는데 캐릭터들이 너무 메리트없음... 할리퀸마저 전보다 되려 매력없게 나옴. 제임스건도 못 살린거면 자살특공대는 이제 그만 놔줘라 dc것들아,2
이터널 선샤인,온전히 나를..그리고 상대방을 봐줄수는 없었을까..서로 지치게 만드는것도 사랑일까..그럼에도 불구하고..너와 함께하고 싶다,8
너와 파도를 탈 수 있다면,넘 아름답고 행복하고 슬펐던 그리고 넘 제 취향의 영화였어요,10
블랙 위도우,너무 재밌었어요 :) 근데 앞에 마블 영화 안봐서 왜 블랙위도우가 히어로인 줄은 모르겠지만 그래도 너무 재밌었어요,9
악인전,호쾌한 액션신이 눈을 즐겁게 하네요,10
더 라스트 머시너리,아들을 꼭 구해야 하나… 아오… 액션만 보고 싶었다,6
더 수어사이드 스쿼드,킬링타임용으로 봐줄만함이런 영화에 감동 스토리를 논하는거 자체가 모순아닐까??,10
라라랜드,몇번을봐도 최고에요 ㅜㅜ,10
연평해전,감동적이고 너무 슬픕니다ㅠㅠ... 군인분들 존경합니다,10
모가디슈,잘만들어진 영화같아요. 코로나시대임에도 많이들 보실듯요~~~,10
보스 베이비 2,다른 영화들에 비해 2인데도 재밌었어요 옛날 생각도 나고,10
그린 나이트,가웨인'경'과 녹색의 '기사' 간 물리적 심리적 기사도적 간극을 좁혀가는 지난한 여정. 어렵지만 한번은 다시 풀어보고 싶은 문제작,8
콜 오브 와일드,벅 같은  개 키우고싶다..,8
보스 베이비 2,1편보다 훨씬 재미있게 봤어요~~!,9
고질라 VS. 콩,극장에서 봤다면 더 멋있었을 듯. 화려함 그 자체.,10
긴급 명령,말이 필요없음. 무조건 봐야함^^,10
모가디슈,근래 본 영화 중에서 가장 흥미진진했습니다!,10
천녀유혼,왕조현이 너무 예뻤던….??,10
바람의 검심 : 전설의 최후편,마지막  사무라이들에게 경례 장면은 소름~~!,10
모가디슈,오..마치모가디슈에들어와있는것처럼느껴졌고 몰입감스토리연기력최고!!!올만에정말재밌게잘봣네용액션신도최고 ^^,10
모가디슈,진짜 꼭봐라 개재밌다!,10
유전,뭔가 끈적끈적한 불안함과 불쾌감이 느껴지는 영화.. 몰입감 있었습니다,9
모가디슈,정말 오랜만에 돈내고 영화 보고 기분 좋았어요 아이들과 보아도 역사적인 사실이라 좋았고 현장감이 생생해서 보는동안 김장감도 좋았고 곳곳에 감초같은 코믹요소도 자연스럽게 녹아들어 막지막까지 만족감 높은 영화 였습니다 이런 좋은영화 만들어 주셔서 감사합니다,10
정글 크루즈,이런 영화는 일년에 하나씩 나와줘야 한다,7
랑종,아쉬운점은 있긴하지만. 그냥저냥 볼만했어요,6
아쿠아맨,와우 굳 영상미,10
괴기맨숀,정말 진지하게 공포영화 정말 좋아하는 사람으로써 이영화는 돈주고 보지마세요 ^^그럼이만,4
노팅 힐,오늘에서야 이름만 듣던 명작 영화를 보게되네요. 감동입니다.,10
디파티드,엄청난 명작입니다. 최고의 작품,10
모가디슈,너무 재밌게 봤어요!!! 실화 바탕이라 더 감동이 있는거 같아용!다들 연기도 너무 잘해서 진짜 재밌었어요추천합니당구교환님 너무 멋있어요ㅠㅠ,10
26년,역사를 기억합시다..,10
정도,중국 무협지 핸리 주인공 강추,10
워크 투 리멤버,이런 것이 사랑이라면 나도 해보고 싶다고 처음으로 생각하게 해준 인생영화. 슬프지만 너무 아름답고 찬란한 이야기,10
더 룸,여운이남는 영화 꼭 보세요..,10
변신,비록 오컬트라는 장르 영화 특성상 예측 가능한 클리셰 범벅이긴 했으나 가족 내에서 일어난다는 소재도 신선했고 배우들 연기도 너무 좋았고 초반 연출과 스토리도 너무 좋았는데 앞에 뿌려놓은 여러 대형 떡밥들을 거두지 못 하거나 활용을 잘 못 해서 아쉬웠습니다. 후반부를 조금만 더 잘 다듬었으면 정말 괜찮은 영화였을 거 같습니다.,7
"조제, 호랑이 그리고 물고기들",이별이라는 술을 거하게 마시고 난 다음날 숙취같은 영화,10
플로리다 프로젝트,이토록 처절한 영화를 아무렇지 않은듯 담담히 담아내는 감독의 잔인함,10
바람의 검심 최종장: 더 비기닝,기대보다 좋았어요^^,10
허리케인 하이스트,중간에 주인공 오줌싸는거 나옴 킹중 대박,10
블랙 위도우,동생이 나한텐 진짜 가족이었다고 할때 뭔가 울컥했고 마지막에 엄마가 나타샤한테 몸 조심하라는게 좀 감동을 받았다,10
모가디슈,재밌어요!!배우님들 연기 진짜 잘함..,10
